GTps-k1-8CA5	GT-K00711
GTps-k1-90AA	GT-K00712
GTps-k2-88F2	GT-K00713
GTps-k1-9187	GT-K00714
GTps-k1-E75B	GT-K00715
GTps-02-93B5	GT-K00716
GTps-k1-E48E	GT-K00717
GTps-k1-E351	GT-K00718
GTps-k2-95E7	GT-K00719
GTps-k1-9DC3	GT-K00720
GTps-02-96BC	GT-K00721
GTps-k1-9585	GT-K00722
GTps-02-959B	GT-K00723
GTps-k1-E1CE	GT-K00724
GTps-k1-9D4F	GT-K00725
GTps-k1-8DDD	GT-K00726
GTps-k1-9D51	GT-K00727
GTps-03-8F96	GT-K00728
GTps-k2-916E	GT-K00729
GTps-02-896B	GT-K00730
GTps-03-93E4	GT-K00731
GTps-02-88AC	GT-K00732
GTps-k1-89F3	GT-K00733
GTps-05-9871	GT-K00734
GTps-k1-8B6D	GT-K00735
GTps-k1-8FBA	GT-K00736
GTps-k2-936B	GT-K00737
GTps-k1-8C8F	GT-K00738
GTps-k1-939C	GT-K00739
GTps-k2-93CB	GT-K00740
GTps-k1-E590	GT-K00741
GTps-k1-9541	GT-K00742
GTps-k2-8BAE	GT-K00743
GTps-02-88D6	GT-K00744
GTps-03-8FF1	GT-K00745
GTps-k1-E48F	GT-K00746
GTps-k1-91D1	GT-K00747
GTps-k1-93A8	GT-K00748
GTps-k1-8F93	GT-K00749
GTps-k1-E28A	GT-K00750
GTps-k1-E48B	GT-K00751
GTps-k1-8C4B	GT-K00752
GTps-k1-E54D	GT-K00753
GTps-k1-8C92	GT-K00754
GTps-k1-8DF7	GT-K00755
GTps-k1-8FB9	GT-K00756
GTps-k1-999B	GT-K00757
GTps-k1-8BAD	GT-K00758
GTps-k1-8BEC	GT-K00759
GTps-k1-8C8B	GT-K00760
GTps-k1-E3D7	GT-K00761
GTps-k2-88BF	GT-K00762
GTps-k1-E3D6	GT-K00763
GTps-k1-8C75	GT-K00764
GTps-k1-E794	GT-K00765
GTps-02-9768	GT-K00766
GTps-k2-947A	GT-K00767
GTps-k1-E350	GT-K00768
GTps-k1-93E3	GT-K00769
GTps-k2-9248	GT-K00770
GTps-k1-E258	GT-K00771
GTps-03-91FB	GT-K00772
GTps-k1-9DDD	GT-K00773
GTps-k1-8D4B	GT-K00774
GTps-k1-E197	GT-K00775
GTps-k2-9592	GT-K00776
GTps-11-95DB	GT-K00777
GTps-k1-8A43	GT-K00778
GTps-k1-9DDF	GT-K00779
GTps-k1-918E	GT-K00780
GTps-k1-9DE3	GT-K00781
GTps-k1-9ECA	GT-K00782
GTps-k2-89D7	GT-K00783
GTps-k1-9EC5	GT-K00784
GTps-k1-89E6	GT-K00785
GTps-03-E6C0	GT-K00786
GTps-k1-E3D8	GT-K00787
GTps-k1-8D5C	GT-K00788
GTps-k1-E8A9	GT-K00789
GTps-k2-9478	GT-K00790
GTps-02-9680	GT-K00791
